state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
ID,01/12/2026,Allstate Insurance Company,04.0 Homeowners,04.0001 Condominium Homeowners,56.200%,25.000%,130466,833,521588,40.200%,4.300%,rate_change,ALSE-134724096,FILED,2025-10-31,output/pdfs/ID/134724096/filing_summary.pdf
ID,03/02/2026,Allstate Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,14.600%,7.000%,284293,2758,4061334,10.900%,3.600%,rate_change_withdrawn,ALSE-134813879,WITHDRAWN,2026-01-27,output/pdfs/ID/134813879/filing_summary.pdf
ID,04/14/2026,Allstate North American Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,0.000%,-12.100%,,,,,,rate_change,ALSE-134865728,FILED,2026-03-04,output/pdfs/ID/134865728/filing_summary.pdf
ID,07/08/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),,1.000%,1380,158,138001,13.500%,-1.300%,rate_change,ALSE-134447963,FILED,2025-03-05,output/pdfs/ID/134447963/filing_summary.pdf
ID,09/23/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),,-3.900%,-255942,6146,6562626,5.000%,-27.800%,rate_change,ALSE-134644319,FILED,2025-08-19,output/pdfs/ID/134644319/filing_summary.pdf
ID,05/12/2026,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,-0.800%,-1674655,10432,20986911,0.000%,0.000%,rate_change,ALSE-134909157,FILED,2026-04-13,output/pdfs/ID/134909157/filing_summary.pdf
ID,03/02/2026,Allstate Property and Casualty Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,12.500%,7.000%,396804,3121,5668628,312.400%,-12.800%,rate_change_withdrawn,ALSE-134810468,WITHDRAWN,2026-01-22,output/pdfs/ID/134810468/filing_summary.pdf
ID,03/02/2026,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,15.000%,7.000%,4607862,38731,65826601,350.000%,-59.000%,rate_change_withdrawn,ALSE-134780087,WITHDRAWN,2025-12-19,output/pdfs/ID/134780087/filing_summary.pdf
ID,09/29/2025,Allstate Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,3212622,0.000%,0.000%,rate_change,ALSE-134645740,FILED,2025-08-20,output/pdfs/ID/134645740/filing_summary.pdf
ID,09/29/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,1835614,0.000%,0.000%,rate_change,ALSE-134645740,FILED,2025-08-20,output/pdfs/ID/134645740/filing_summary.pdf
ID,09/29/2025,Allstate Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,4376605,0.000%,0.000%,rate_change,ALSE-134645740,FILED,2025-08-20,output/pdfs/ID/134645740/filing_summary.pdf
ID,05/17/2025,Liberty Mutual Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134488487,FILED,2025-04-10,output/pdfs/ID/134488487/filing_summary.pdf
ID,05/17/2025,Liberty Mutual Personal Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134488487,FILED,2025-04-10,output/pdfs/ID/134488487/filing_summary.pdf
ID,07/21/2025,Liberty Mutual Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,0.000%,0.000%,0,0,0,0.000%,0.000%,rate_change,LBPM-134399434,FILED,2025-02-03,output/pdfs/ID/134399434/filing_summary.pdf
ID,07/21/2025,Liberty Mutual Personal Insurance Company,19.0 Personal Auto,19.0000 Personal Auto Combinations,1.300%,0.000%,208,2904,4824412,12.500%,-10.000%,rate_change,LBPM-134399434,FILED,2025-02-03,output/pdfs/ID/134399434/filing_summary.pdf
ID,01/01/2026,American Economy Insurance Company,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.500%,2.400%,2815740,58392,117643997,4.400%,-0.200%,rate_change,LBPM-134760659,FILED,2025-12-04,output/pdfs/ID/134760659/filing_summary.pdf
ID,01/01/2026,Safeco Insurance Company of Illinois,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,4.500%,2.000%,947532,19679,48022559,5.800%,0.600%,rate_change,LBPM-134760659,FILED,2025-12-04,output/pdfs/ID/134760659/filing_summary.pdf
ID,05/12/2025,Safeco Insurance Company of Illinois,19.0 Personal Auto,19.0000 Personal Auto Combinations,-12.700%,-3.000%,-3246916,48818,106745,0.500%,-7.300%,rate_change,LBPM-134403897,FILED,2025-02-07,output/pdfs/ID/134403897/filing_summary.pdf
ID,05/12/2026,Safeco Insurance Company of Illinois,19.0 Personal Auto,19.0000 Personal Auto Combinations,-2.200%,0.000%,-2505,38113,82636310,13.400%,-9.000%,rate_change,LBPM-134830628,FILED,2026-02-06,output/pdfs/ID/134830628/filing_summary.pdf
ID,05/16/2026,Safeco Insurance Company of Illinois,04.0 Homeowners,04.0004 Tenant Homeowners,4.600%,-0.200%,-2850,5928,1628231,0.000%,-25.000%,rate_change,LBPM-134866042,FILED,2026-03-12,output/pdfs/ID/134866042/filing_summary.pdf
