date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result,home_zone,home_pitch,home_walk,home_hand,away_zone,away_pitch,away_walk,away_hand,park_factor,park_weather_adj,home_bp_mod,away_bp_mod,home_bullpen_score,away_bullpen_score
2024-03-29,745604,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,25.8,39.51,13.7,57.8,3.0,9.7,12,3,9,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,4.6305000000000005,0.3446666666666666,11.159333333333333,6.666666666666666,15.226750000000001,6.541333333333333,11.070666666666666,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,745117,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,54.84,50.88,4.0,48.0,0.0,8.6,10,8,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,16.54975,10.266666666666666,16.694666666666667,8.333333333333332,16.54975,8.044666666666666,17.948666666666664,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,746091,Miami Marlins,Pittsburgh Pirates,loanDepot park,47.81,47.86,0.0,49.7,0.0,8.8,9,2,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,17.211250000000003,7.553333333333334,11.716666666666667,8.333333333333332,22.5155,15.583333333333332,4.762666666666666,5.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,746412,Houston Astros,New York Yankees,Minute Maid Park,44.82,35.06,9.8,54.5,2.0,9.3,8,1,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,17.211250000000003,6.695333333333333,11.248000000000001,6.666666666666666,14.565250000000002,1.9139999999999997,10.247333333333332,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,747223,Arizona Diamondbacks,Colorado Rockies,Chase Field,42.65,32.76,9.9,53.5,2.0,9.3,10,7,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,20.531000000000002,7.450666666666666,3.3313333333333333,8.333333333333332,7.288750000000001,6.724666666666666,12.083999999999998,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,745682,Oakland Athletics,Cleveland Guardians,Oakland Coliseum,31.58,50.32,18.7,62.8,0.0,9.6,10,4,6,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,9.27325,11.286,7.169333333333333,3.0,19.208000000000002,17.724666666666668,8.841333333333333,8.333333333333332,1.14,0,0.0,0.0,55.0,55.0
2024-03-29,745276,Seattle Mariners,Boston Red Sox,T-Mobile Park,62.29,35.15,27.1,49.5,0.0,8.8,1,1,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET,23.838500000000003,9.782666666666666,19.0,6.666666666666666,11.25775,7.450666666666666,9.778666666666666,6.666666666666666,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,745435,San Diego Padres,San Francisco Giants,Petco Park,65.59,39.47,26.1,46.5,0.0,8.5,11,3,8,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,33.11175,12.173333333333334,10.64,6.666666666666666,21.192500000000003,8.162,7.118666666666666,3.0,1.0,0,0.0,0.0,55.0,55.0
2024-03-29,746167,Los Angeles Dodgers,St. Louis Cardinals,Dodger Stadium,40.19,36.58,3.6,53.0,2.0,9.3,9,6,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,10.596250000000001,9.430666666666665,10.500666666666666,6.666666666666666,13.90375,0.0,14.338666666666667,8.333333333333332,1.0,0,0.0,0.0,55.0,55.0
2024-03-30,745850,New York Mets,Milwaukee Brewers,Citi Field,44.96,27.5,17.5,56.0,2.0,9.5,13,6,7,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,14.565250000000002,5.808,14.921333333333331,6.666666666666666,6.627250000000001,7.1499999999999995,8.727333333333332,5.0,1.0,0,0.0,0.0,55.0,55.0
